## Thu Nov  4 09:44:55 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
2 20 1000 1 51.19143 125.0411 127.4783 7.728311e-05
2 20 1000 1 85.81688 155.7795 157.2442 0.1005098
2 20 1000 1 50.69748 123.5805 125.8907 0.003810587
2 20 1000 1 43.26223 117.1874 119.7515 3.864572e-07
2 20 1000 1 43.27008 117.1384 119.8081 0.00393012
2 20 1000 1 42.61382 116.5699 119.1573 0.9414942
2 20 1000 1 46.54977 120.5231 123.2294 3.170376e-05
2 20 1000 1 47.74388 121.6376 124.2062 9.270001e-06
2 20 1000 1 42.30762 116.2625 118.8757 0.1575085
2 20 1000 1 48.55864 122.4736 125.0488 1.104254e-08
2 20 1000 1 43.62779 117.5941 120.3009 1.294452e-05
2 20 1000 1 61.46324 135.0659 137.6321 0.001305165
2 20 1000 1 42.85346 116.7618 119.3617 0.07100941
2 20 1000 1 40.98519 114.9704 117.6511 4.0771e-07
2 20 1000 1 46.00113 119.833 122.5433 0.5552601
2 20 1000 1 43.22174 117.1689 119.7758 1.369009e-05
2 20 1000 1 64.43052 137.955 140.3767 0.8017594
2 20 1000 1 47.63034 121.5221 124.1201 4.776323e-05
2 20 1000 1 49.29716 123.0576 126.1242 1.974201e-06
2 20 1000 1 41.51308 115.468 118.1893 0.002145674
2 20 1000 1 45.51623 119.3065 121.941 3.355577e-08
2 20 1000 1 59.65332 133.2825 135.8311 2.073729e-05
2 20 1000 1 45.08008 119.0315 121.5816 0.000642068
2 20 1000 1 46.185 120.0779 122.8085 0.04579825
2 20 1000 1 52.98819 126.8066 129.0788 0.002783603
2 20 1000 1 69.18223 142.2034 144.5706 0.0386092
2 20 1000 1 44.54 118.4573 121.0211 5.617668e-06
2 20 1000 1 119.6259 178.9817 179.9114 0.006779328
2 20 1000 1 58.21024 131.3574 133.585 0.8175109
2 20 1000 1 52.7584 126.4898 129.3324 0.0002204702
2 20 1000 1 41.82655 115.8136 118.4363 1.957486e-05
2 20 1000 1 42.79531 116.7329 119.3038 2.778339e-07
2 20 1000 1 41.0985 115.0463 117.6608 0.9768816
2 20 1000 1 45.37723 119.1135 121.6083 1.915331e-08
2 20 1000 1 40.59774 114.5697 117.1915 1.317165e-09
2 20 1000 1 40.57372 114.5521 117.1738 7.629195e-05
2 20 1000 1 44.737 118.6792 121.3477 0.9947856
2 20 1000 1 57.30001 131.0344 133.674 0.9899225
