## Sat Oct 30 14:10:38 2021 
model n s Ncalpt IC.clk IC.cor IC.rel rho
2 20 1000 1 72.14934 143.1758 145.4603 0.1074165
2 20 1000 1 72.91479 140.585 143.1486 1.038888e-08
2 20 1000 1 45.66504 119.079 121.6532 0.9421001
2 20 1000 1 121.5843 165.387 165.4529 0.8339392
2 20 1000 1 81.44374 141.1974 142.2406 0.004542756
2 20 1000 1 66.52431 135.0292 137.3689 1.269079e-05
2 20 1000 1 96.05501 157.0955 158.4347 5.953852e-11
2 20 1000 1 73.2826 140.3221 142.46 0.9998193
2 20 1000 1 62.32803 133.3751 136.1593 0.002333591
2 20 1000 1 58.53721 130.7951 133.1865 0.7192803
2 20 1000 1 99.2657 156.3627 157.5757 0.9944456
2 20 1000 1 44.10831 117.7944 120.4837 0.2902208
2 20 1000 1 43.85737 117.684 120.3197 5.523787e-11
2 20 1000 1 46.45843 120.0762 122.6522 0.0002365409
2 20 1000 1 68.10597 132.575 133.0423 0.9824179
2 20 1000 1 146.361 188.2984 188.4166 4.039449e-08
2 20 1000 1 62.09334 131.8925 134.4656 0.0009513363
2 20 1000 1 98.55527 161.8607 163.6636 0.001252857
2 20 1000 1 41.49467 115.4514 118.1133 1.968042e-08
2 20 1000 1 52.84195 124.9037 127.4823 0.009755103
2 20 1000 1 64.7326 130.8167 133.5648 0.9395843
2 20 1000 1 60.53038 129.6656 132.0145 0.9986303
2 20 1000 1 63.51469 132.5408 135.297 3.569891e-06
2 20 1000 1 87.68101 152.9581 154.7451 0.7086777
2 20 1000 1 70.4636 138.5977 140.7812 5.905198e-08
2 20 1000 1 50.77674 124.1928 126.8141 0.01096617
2 20 1000 1 89.66763 146.7623 147.4898 0.5284766
2 20 1000 1 48.83448 121.3923 123.7977 0.002758191
2 20 1000 1 64.62877 133.124 135.4141 3.26372e-07
2 20 1000 1 46.6231 119.9996 122.792 0.002213272
2 20 1000 1 56.82254 128.3958 130.7406 0.004102709
2 20 1000 1 44.62272 118.1195 120.7725 0.007202892
2 20 1000 1 44.98808 118.5807 121.3819 0.002105769
2 20 1000 1 57.84231 127.8688 130.1169 8.355458e-06
2 20 1000 1 51.94156 124.9482 127.4351 0.005777176
2 20 1000 1 48.37819 120.3544 123.0195 0.000302103
2 20 1000 1 61.11799 131.2489 134.0863 0.9936472
2 20 1000 1 203.5835 165.8153 165.5238 0.003450733
2 20 1000 1 97.7699 141.8501 144.1989 0.01509604
2 20 1000 1 56.67158 128.1406 130.5647 0.3140938
2 20 1000 1 49.69893 122.0609 124.3513 0.9998003
2 20 1000 1 48.63426 121.8226 124.3145 0.01319508
2 20 1000 1 70.14599 139.8068 142.0612 0.0001568919
2 20 1000 1 87.77537 154.4711 156.0492 0.9734709
2 20 1000 1 65.7357 135.3009 137.4354 0.5740974
2 20 1000 1 56.73365 129.3133 131.7126 0.0003740861
2 20 1000 1 65.10323 132.1366 134.5657 7.367581e-06
2 20 1000 1 45.81603 118.5589 121.3269 0.6591129
2 20 1000 1 51.61226 124.3443 127.2044 0.3790968
2 20 1000 1 47.75147 120.5032 122.9487 2.129039e-08
2 20 1000 1 48.27826 121.3173 124.1549 0.9756932
2 20 1000 1 56.30732 127.9003 130.7128 3.174911e-05
2 20 1000 1 104.3084 153.0033 154.0566 0.4024602
2 20 1000 1 69.90388 138.3161 139.6621 0.8882556
2 20 1000 1 46.34546 119.6988 122.2476 0.002503651
2 20 1000 1 46.37384 118.933 121.5978 1.525249e-06
2 20 1000 1 49.59443 122.4085 124.9733 2.448941e-05
2 20 1000 1 98.45346 153.388 153.3861 0.5338387
2 20 1000 1 61.30855 132.0354 134.8376 0.01042962
2 20 1000 1 55.12721 128.3047 130.8124 3.609399e-06
2 20 1000 1 115.9634 173.2677 174.0445 0.8913154
2 20 1000 1 45.00358 118.6072 121.1539 0.176623
2 20 1000 1 88.7132 140.0821 140.7603 0.000608535
2 20 1000 1 42.01731 115.7527 118.3851 6.862822e-11
2 20 1000 1 43.76052 117.5004 120.0707 0.0001470668
2 20 1000 1 73.71801 129.2439 131.6451 0.0001247988
2 20 1000 1 50.85013 123.832 126.6973 0.01844625
2 20 1000 1 74.47368 139.3458 141.6661 0.03179528
2 20 1000 1 45.34682 118.6803 121.1544 1.930056e-06
2 20 1000 1 212.5977 157.8352 157.8405 0.009023807
2 20 1000 1 46.59296 120.2081 122.887 0.002681745
2 20 1000 1 44.19673 117.3498 120.0609 1.917306e-06
2 20 1000 1 103.0619 142.9269 143.7589 0.3089888
2 20 1000 1 56.97361 129.126 131.4756 0.007797635
2 20 1000 1 44.92309 118.4539 121.0959 1.313995e-06
2 20 1000 1 64.05671 134.5241 137.6167 1.533206e-05
2 20 1000 1 71.13069 139.0883 141.6286 0.001188778
2 20 1000 1 48.80106 121.0405 123.8068 0.5636376
2 20 1000 1 90.68885 153.337 154.8021 0.7731553
2 20 1000 1 63.703 131.1279 133.2461 2.346067e-10
2 20 1000 1 43.29171 117.1442 119.8154 2.368438e-06
2 20 1000 1 52.63993 125.0708 128.0433 0.001195814
2 20 1000 1 53.89938 125.7859 128.4906 0.9293187
2 20 1000 1 69.43038 139.3277 141.3676 0.2286514
2 20 1000 1 69.29553 134.0133 136.1153 0.0003131503
2 20 1000 1 114.6931 149.7663 150.5171 0.03238744
2 20 1000 1 82.59461 143.1061 143.8535 0.3754939
2 20 1000 1 100.1753 162.7977 163.0531 5.496632e-05
2 20 1000 1 56.70085 127.667 130.4183 0.9592393
2 20 1000 1 65.79523 134.3352 137.5728 0.01610263
2 20 1000 1 59.16307 130.1693 132.7315 8.564384e-08
2 20 1000 1 72.98203 138.4696 140.5038 0.004830213
2 20 1000 1 45.00407 117.7966 120.4345 0.004963135
2 20 1000 1 68.22037 138.8198 140.6408 0.01716463
2 20 1000 1 80.22198 125.4337 127.4931 0.0004213923
2 20 1000 1 46.72859 120.5427 123.1746 0.0005773265
2 20 1000 1 89.8687 142.3081 144.5722 0.006232025
2 20 1000 1 Inf 557.2307 231.756 0.1401908
2 20 1000 1 52.62062 124.9676 127.3737 0.005454972
3 20 1000 1 58.80592 132.6854 135.7571 1.709565e-05
3 20 1000 1 53.50549 127.4227 129.8275 0.0001842711
3 20 1000 1 54.65198 128.5511 131.3244 2.190573e-05
3 20 1000 1 54.73273 128.623 130.9188 0.9972451
3 20 1000 1 54.16493 127.6797 129.9412 1.808094e-06
3 20 1000 1 53.22366 127.1593 129.7713 0.002597722
3 20 1000 1 50.2614 124.1777 126.7097 5.186056e-07
3 20 1000 1 60.22591 133.8966 137.0754 0.0115208
3 20 1000 1 53.21595 127.1207 129.7825 1.119168e-05
3 20 1000 1 60.57758 134.3154 136.9992 2.938375e-11
3 20 1000 1 60.11837 133.9678 136.4322 6.811719e-06
3 20 1000 1 54.31728 128.2283 130.9716 4.199474e-17
3 20 1000 1 56.91922 130.8542 133.2483 1.692626e-13
3 20 1000 1 59.15534 132.7033 134.8365 0.0002317268
3 20 1000 1 58.71691 131.3253 133.6036 4.903251e-07
3 20 1000 1 58.02554 131.8673 134.6075 0.005777628
3 20 1000 1 54.37583 128.3147 131.08 0.0005797077
3 20 1000 1 56.44639 130.0333 132.5666 0.286095
3 20 1000 1 54.07124 127.9733 130.91 0.0001484438
3 20 1000 1 56.87133 130.4902 133.0175 3.651685e-06
3 20 1000 1 58.91155 132.6801 135.2465 1.92964e-05
3 20 1000 1 59.89587 133.7501 136.1385 0.0004962255
3 20 1000 1 56.1629 130.0245 132.6447 1.871255e-08
3 20 1000 1 49.91186 123.7947 126.7523 0.004972651
3 20 1000 1 54.37823 128.217 130.7103 3.246178e-08
3 20 1000 1 54.48735 128.4217 131.181 5.74965e-07
3 20 1000 1 56.94307 130.8332 133.6252 2.965874e-06
3 20 1000 1 53.92428 127.889 130.8414 3.04458e-09
3 20 1000 1 57.64149 131.4577 133.9741 0.0009348595
3 20 1000 1 62.10102 135.6842 138.2207 1.307948e-11
3 20 1000 1 56.4054 130.3106 132.7857 0.4003942
3 20 1000 1 55.50097 129.3985 131.9527 3.951903e-07
3 20 1000 1 59.60556 133.4821 135.9746 2.39436e-07
3 20 1000 1 56.14062 130.0576 132.2841 0.03185951
3 20 1000 1 59.13256 133.0782 135.2409 7.926033e-06
3 20 1000 1 56.58535 130.499 132.8808 0.0002588972
3 20 1000 1 84.65269 157.7128 159.4489 0.001795129
3 20 1000 1 60.88469 134.6385 137.1805 2.138777e-05
3 20 1000 1 55.90947 129.7623 132.1985 0.4607386
